appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
891950,Wagers of War,Jumb-O-Fun Games Inc,Jumb-O-Fun Games Inc,,32,29,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0,0
895140,JJBoom,Meggic,Meggic,,176,16,0,"0 .. 20,000",0,0,0,0,4.99,4.99,0,0
738440,MazeQuest 2,"Will Orr, Chris Orr",OMB Media,,7,1,0,"0 .. 20,000",0,0,0,0,7.99,7.99,0,0
758880,RedSun RTS,Yuri Eletskikh,redsungames,,12,16,0,"0 .. 20,000",0,0,0,0,6.99,6.99,0,0
957960,Inkulinati,Yaza Games,Daedalic Entertainment,,283,34,0,"0 .. 20,000",0,0,0,0,24.99,24.99,0,11
715280,Ancient Battle: Hannibal,HexWar Games,Hunted Cow Games,,11,4,0,"0 .. 20,000",0,0,0,0,9.99,9.99,0,0
981260,Love In Drawing,RewindApp,RewindApp,,201,34,0,"0 .. 20,000",0,0,0,0,1.99,1.99,0,0
923590,Forebearers,Sandspire Interactive,Sandspire Interactive,,55,54,0,"0 .. 20,000",0,0,0,0,19.99,19.99,0,0
978670,Christmas Clicker: Idle Gift Builder,Autotelic Games LLC,Autotelic Games LLC,,45,20,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0,3
964110,MonGirlTile,xexai,xexai,,5,0,0,"0 .. 20,000",0,0,0,0,1.99,1.99,0,0
963490,Abyss Manager,D4 Laboratory,D4 Laboratory,,56,16,0,"0 .. 20,000",0,0,0,0,7.99,7.99,0,0
1059740,Gunslingers & Zombies,Live Motion Games,Gaming Factory,,19,6,0,"0 .. 20,000",0,0,0,0,5.99,5.99,0,0
1070320,Ring the City,Giant Games,Giant Games,,85,36,0,"0 .. 20,000",0,0,0,0,9.99,9.99,0,0
1083850,Fantasy Hero Manager,Mykel Flynn,Mykel Flynn,,7,13,0,"0 .. 20,000",0,0,0,0,6.99,6.99,0,0
1115450,Bastide,MedievalNexus,MedievalNexus,,221,80,0,"0 .. 20,000",0,0,0,0,10.99,10.99,0,1
1119870,Bot Land,Xtonomous LLC,Xtonomous LLC,,57,27,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0,0
1118640,Meta: Assembled,TocadoVision,TocadoVision,,3,1,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0,0
1125390,Atrio: The Dark Wild,Isto Inc.,Isto Inc.,,401,76,0,"0 .. 20,000",0,0,0,0,19.99,19.99,0,5
1139840,TILTit,MABE Play,MABE Play,,4,1,0,"0 .. 20,000",0,0,0,0,0.99,0.99,0,0
892860,Hot Brass,Walk with Kings,Treasure Hunters FanClub,,389,118,0,"0 .. 20,000",0,0,0,0,14.99,14.99,0,2
