appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1289990,Alan's Automaton Workshop,Laputa Labs,Laputa Labs,,143,32,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,3
482890,Fantasy Kingdom Simulator,SimProse Studios,Conglomerate 5,,67,75,0,"50,000 .. 100,000",0,0,0,0,0.99,0.99,0,1
486780,Fruit Ninja VR,Halfbrick Studios Pty Ltd,Halfbrick Studios Pty Ltd,,660,163,0,"50,000 .. 100,000",0,0,0,0,10.49,14.99,30,6
598070,Nevrosa: Prelude,GexagonVR,GexagonVR,,183,28,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
554510,The Golf Club 2,HB Studios,Maximum Games,,490,309,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,5
841190,"Honey, I Joined a Cult",Sole Survivor Games,Team17,,1122,361,0,"50,000 .. 100,000",0,0,0,0,21.99,21.99,0,34
622720,Weedcraft Inc,Vile Monarch,Devolver Digital,,1165,265,0,"50,000 .. 100,000",0,0,0,0,19.99,19.99,0,21
987020,DRONE The Game,Five Studios Interactive,Five Studios Interactive,,830,528,0,"50,000 .. 100,000",0,0,0,0,19.99,19.99,0,1
1662140,Real estate tycoon,Double Eggs,Double Eggs,,303,139,0,"50,000 .. 100,000",0,0,0,0,10.99,10.99,0,1
2230110,Fae Farm,Phoenix Labs,Phoenix Labs,,1589,337,0,"50,000 .. 100,000",0,0,0,0,39.99,39.99,0,499
449710,REDCON,Hexage,Hexage,,498,110,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,2
443260,Hero Generations: ReGen,Heart Shaped Games LLC,Heart Shaped Games LLC,,52,36,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,0
603940,Pixel Shopkeeper,Pixel Prototype,Pixel Prototype,,124,34,0,"50,000 .. 100,000",0,0,0,0,6.99,6.99,0,0
614630,Tiny Rails,Tiny Titan Studios,Tiny Titan Studios,,431,131,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,15
914750,Bee Simulator,VARSAV Game Studios,Nacon,,658,259,0,"50,000 .. 100,000",0,0,0,0,19.99,19.99,0,6
957790,War Dust VR: 32v32 Battlefields,raptor lab,raptor lab,,1270,307,0,"50,000 .. 100,000",0,0,0,0,9.99,24.99,60,9
963690,Hentai Girl Hime,GirlGames,GirlGames,,1705,134,0,"50,000 .. 100,000",0,0,0,0,0.99,0.99,0,3
1028860,Star Chef: Cooking & Restaurant Game,99Games Online Pvt. Ltd.,99Games Online Pvt. Ltd.,,180,139,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,48
1195220,Gunman And The Witch,"Phun Peeticharoenthum, Wichayuth Luaengtawekul, Noppasin Ngamsanguanprapa, Jeeratumrong Nakpracha, Pawika Khampawong",Phun Peeticharoenthum,,131,49,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,1
1389190,Rear of Business,2xDal,2xDal,,3,4,0,"50,000 .. 100,000",0,0,0,0,1.99,1.99,0,0
1508680,Love n War: Warlord by Chance,Reborn Entertainment,Reborn Entertainment,,1101,169,0,"50,000 .. 100,000",0,0,0,0,2.99,2.99,0,7
1620340,Wrestling Empire,MDickie,MDickie,,1665,95,0,"50,000 .. 100,000",0,0,0,0,19.99,19.99,0,81
1578390,My Garage,Viking Game Studio,Viking Game Studio,,1529,133,0,"50,000 .. 100,000",0,0,0,0,19.99,19.99,0,150
1779200,Thrive,Revolutionary Games Studio,Revolutionary Games Studio,,751,66,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,22
1679060,NMDC,Paper Crown Studio,Paper Crown Studio,,2,0,0,"50,000 .. 100,000",0,0,0,0,8.99,8.99,0,0
2073470,Kanjozoku Game レーサー Online Street Racing & Drift,SG DEV,Midnight Games,,2618,515,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,10
2325800,Gearhead Karting Simulator - Mechanic & Racing,Gearhead Studio,Midnight Games,,10,5,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,1
2232870,The Backrooms Origins,Hypnos Games,Hypnos Games,,4,0,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,0
2546150,Entities,EY-Studio,EY-Studio,,29,20,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,14
422420,Godus Wars,22cans,22cans,,86,490,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,1
461180,SurrealVR,Surreal Games,Surreal Games,,43,29,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,1
467010,Fall of Civilization,"Luke Dodds, Midnight Forge LTD","Luke Dodds, Midnight Forge LTD",,52,83,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
565030,Blueshift,"Zach Tsiakalis-Brown, Raul Bravo",Zulubo Productions,,159,39,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
574440,Ripple Effect,"Well Played Studio, Inc","Well Played Studio, Inc",,43,20,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,1
643810,Fugl,Team Fugl,Kotori Studios Ltd,,456,85,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,1
646270,60 Parsecs!,Robot Gentleman,Robot Gentleman,,2741,392,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,27
575900,Mosaics Galore 2,Creobit,8Floor,,75,15,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,0
809230,Unity of Command II,"2x2 Games, Croteam",2x2 Games,,1347,307,0,"50,000 .. 100,000",0,0,0,0,29.99,29.99,0,98
618620,Naval Armada: Fleet Battle,XDEVS LTD,XDEVS LTD,,84,68,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,12
1321450,American Theft 80s,Noble Muffins,PlayWay S.A.,,529,162,0,"50,000 .. 100,000",0,0,0,0,10.59,19.99,47,14
1874170,Shredders,FoamPunch,FoamPunch,,1784,78,0,"50,000 .. 100,000",0,0,0,0,29.99,29.99,0,125
2312030,Mafia in Town,"Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",,19,8,0,"50,000 .. 100,000",0,0,0,0,44.99,44.99,0,0
201490,Airline Tycoon 2,b-Alive,Kalypso Media Digital,,93,460,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,3
248450,Salvation Prophecy,Firedance Games,,,149,76,0,"50,000 .. 100,000",0,0,0,0,19.99,19.99,0,1
357310,Oriental Empires,Shining Pixel Studios,Iceberg Interactive,,2305,563,0,"50,000 .. 100,000",0,0,0,0,29.99,29.99,0,51
403880,MotoGP15 Compact,Milestone S.r.l.,Milestone S.r.l.,,101,54,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
449300,Planar Conquest,Wastelands Interactive,Conglomerate 5,,285,195,0,"50,000 .. 100,000",0,0,0,0,0.99,0.99,0,1
453960,Envy the Dead,Kazakov Oleg,Kazakov Oleg,,148,72,0,"50,000 .. 100,000",0,0,0,0,0.99,0.99,0,0
606960,CRIMSON METAL Classic 1999,Madbox Entertainment,Madbox Entertainment,,147,130,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,0
824070,Objects in Space,Flat Earth Games,505 Games,,294,269,0,"50,000 .. 100,000",0,0,0,0,24.99,24.99,0,2
926340,Roman's Christmas / 罗曼圣诞探案集,SelfCrop Studio,Fawngame,,1371,49,0,"50,000 .. 100,000",0,0,0,0,10.99,10.99,0,5
935840,Fantasy Battles,FreezeNova,FreezeNova,,99,52,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
1060230,Sapiens,Majic Jungle,Majic Jungle,,1415,248,0,"50,000 .. 100,000",0,0,0,0,24.99,24.99,0,144
486860,MMORPG Tycoon 2,VectorStorm Pty Ltd,VectorStorm Pty Ltd,,2158,347,0,"50,000 .. 100,000",0,0,0,0,24.99,24.99,0,35
844960,Pro 11 - Football Manager Game,Trophy Games ApS,Trophy Games ApS,,198,70,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,17
1244630,House Builder,FreeMind S.A.,"PlayWay S.A., FreeMind S.A.",,1446,348,0,"50,000 .. 100,000",0,0,0,0,11.99,14.99,20,60
1335240,放置勇者：远征/Idle Heroes:Odyssey,OnigiriStudio,OnigiriStudio,,286,258,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,20
1314140,TramSim Vienna - The Tram Simulator,ViewApp,Aerosoft GmbH,,1390,382,0,"50,000 .. 100,000",0,0,0,0,34.99,34.99,0,32
1444020,Reactor Tech²,4Co,"4Co, KuKusFs Production",,232,100,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,0
1472740,Das Balkonzimmer,FLO-server,FLO-server,,28,17,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
1462680,Asdivine Cross,Exe Create Inc.,KEMCO,,4,2,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,0
