appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1758910,Time Commando,[2.21],[2.21],,56,4,0,"200,000 .. 500,000",0,0,0,0,5.99,5.99,0,1
261530,Lifeless Planet Premier Edition,Stage 2 Studios,Serenity Forge,,2624,810,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,1
290080,Life is Feudal: Your Own,Bitbox Ltd.,Bitbox Ltd.,,7788,3994,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,465
340170,FINAL FANTASY TYPE-0 HD,Square Enix,Square Enix,,1813,1110,0,"200,000 .. 500,000",0,0,0,0,29.99,29.99,0,10
638490,Soldat,"Transhuman Design, Soldat Team",Transhuman Design,,1566,88,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,17
536270,Ancestors: The Humankind Odyssey,Panache Digital Games,Private Division,,6638,1906,0,"200,000 .. 500,000",0,0,0,0,39.99,39.99,0,117
286040,Dead Effect,"BadFly Interactive, a.s.","BadFly Interactive, a.s.",,2634,994,0,"200,000 .. 500,000",0,0,0,0,4.99,4.99,0,2
1262060,Battle Ram,"Wloop777, Anatoliy Loginovskikh",khukhrovr  ,,279,38,0,"200,000 .. 500,000",0,0,0,0,3.99,3.99,0,6
619400,Fluffy Creatures VS The World,Amaterasu Software,Amaterasu Software,,124,159,0,"200,000 .. 500,000",0,0,0,0,0.49,0.99,51,1
1229380,Everhood,"Chris Nordgren, Jordi Roca","Foreign Gnomes, Surefire.Games",,10954,521,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,44
209730,R.A.W. Realms of Ancient War,Wizarbox,Focus Entertainment,,377,377,0,"200,000 .. 500,000",0,0,0,0,4.99,4.99,0,2
922320,Sniper 3D Assassin: Free to Play,Fun Games For Free,Fun Games For Free,,958,553,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,51
115120,Iron Brigade,Double Fine Productions,Double Fine Productions,,894,164,0,"200,000 .. 500,000",0,0,0,0,14.99,14.99,0,4
291010,The Hat Man: Shadow Ward,Game Mechanics LLC,,,2218,1155,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,0
431930,Kabounce,Stitch Heads Entertainment,Stitch Heads Entertainment,,2293,216,0,"200,000 .. 500,000",0,0,0,0,14.99,14.99,0,0
240440,Quadrilateral Cowboy,Blendo Games,Blendo Games,,793,71,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,2
1292040,STRIDE,Joy Way,Joy Way,,1765,402,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,3
332790,Darkness Assault,Black Lime Studio,Black Lime Studio,,330,310,0,"200,000 .. 500,000",0,0,0,0,0.99,0.99,0,0
372540,The Lost Mythologies,Basaltic studio,Basaltic studio,,1109,566,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,0
607890,Sword Art Online: Hollow Realization Deluxe Edition,AQURIA,BANDAI NAMCO Entertainment,,5824,1474,0,"200,000 .. 500,000",0,0,0,0,49.99,49.99,0,47
967250,DOKA 2 KISHKI EDITION,Agafonoff,Agafonoff,,2902,537,0,"200,000 .. 500,000",0,0,0,0,0.99,0.99,0,2
1021770,Wanba Warriors,Wanba Studio,Wanba Studio,,2114,212,0,"200,000 .. 500,000",0,0,0,0,1.59,4.99,68,47
1431610,Prison Simulator: Prologue,Baked Games S.A.,"Baked Games S.A., PlayWay S.A.",,2560,302,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,17
251470,TowerFall Ascension,"Maddy Makes Games Inc., Extremely OK Games, Ltd.",Maddy Makes Games Inc.,,3032,160,0,"200,000 .. 500,000",0,0,0,0,14.99,14.99,0,25
795580,THE DAY Online,Reloaded Studios,Reloaded Studios,,338,241,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,0
960690,One Step From Eden,Thomas Moon Kang,"Humble Games, Maple Whispering Limited",,6503,426,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,54
986130,Shadows of Doubt,ColePowered Games,Fireshine Games,,7429,597,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,412
428660,Deliver Us The Moon,KeokeN Interactive,Wired Productions,,6097,762,0,"200,000 .. 500,000",0,0,0,0,24.99,24.99,0,35
963930,Contractors,Caveman Studio,Caveman Studio,,3178,554,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,110
454120,Starbase,Frozenbyte,Frozenbyte,,3726,2585,0,"200,000 .. 500,000",0,0,0,0,11.89,34.99,66,45
1293860,The Riftbreaker: Prologue,EXOR Studios,"EXOR Studios, Surefire.Games",,3912,179,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,4
2590,Alpha Prime,Black Element,Bohemia Interactive,,769,642,0,"200,000 .. 500,000",0,0,0,0,4.99,4.99,0,1
559100,Phantom Doctrine,CreativeForge Games,Good Shepherd Entertainment,,3156,1065,0,"200,000 .. 500,000",0,0,0,0,39.99,39.99,0,56
344130,Cataegis : The White Wind,Acido Cinza,KISS ltd,,248,123,0,"200,000 .. 500,000",0,0,0,0,4.99,4.99,0,2
732730,War Trigger 2,"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",,489,402,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,5
857980,Void Bastards,Blue Manchu,Humble Games,,4221,682,0,"200,000 .. 500,000",0,0,0,0,29.99,29.99,0,33
872670,SCP: 5K,Affray Interactive,Affray Interactive,,6226,1374,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,453
1230410,Chaos,Frinky,Frinky,,3362,437,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,7
1340530,Mr. Prepper: Prologue,Rejected Games,"PlayWay S.A., Rejected Games",,2035,403,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,13
1105500,Yakuza 4 Remastered,Ryu Ga Gotoku Studio,SEGA,,3848,341,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,217
15130,Beyond Good and Evil,Ubisoft,Ubisoft,,2753,438,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,10
236450,PAC-MAN Championship Edition DX+,"Mine Loader Software Co., Ltd.",BANDAI NAMCO Entertainment,,7195,331,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,13
341500,Camera Obscura,Anteater Games,"Anteater Games, BindleBot",,1113,420,0,"200,000 .. 500,000",0,0,0,0,1.99,1.99,0,0
487000,Quest Hunter,2 Zombie Games,2 Zombie Games,,1738,403,0,"200,000 .. 500,000",0,0,0,0,3.99,19.99,80,8
