appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1293230,House of Detention,"Aniki, Male Union ♂",Dungeon Master,,7930,697,0,"200,000 .. 500,000",0,0,0,0,0.99,0.99,0,6
1531720,Need for Drive - Open World Multiplayer Racing,Success Games,"Success Games, Cristian Manolachi, Atomic Fabrik",,1804,1120,0,"200,000 .. 500,000",0,0,0,0,0.99,0.99,0,12
553310,Lethal League Blaze,Team Reptile,Team Reptile,,5697,182,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,44
70620,Worms Crazy Golf,Team17 Digital Ltd,Team17 Digital Ltd,,533,129,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,1
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,"Dejobaan Games, LLC, Owlchemy Labs","Dejobaan Games, LLC",,797,277,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,1
385270,Jet Racing Extreme: The First Encounter,Real Dynamics,Real Dynamics,,818,390,0,"200,000 .. 500,000",0,0,0,0,3.99,3.99,0,0
1262060,Battle Ram,"Wloop777, Anatoliy Loginovskikh",khukhrovr  ,,279,38,0,"200,000 .. 500,000",0,0,0,0,3.99,3.99,0,6
431930,Kabounce,Stitch Heads Entertainment,Stitch Heads Entertainment,,2293,216,0,"200,000 .. 500,000",0,0,0,0,14.99,14.99,0,0
1292040,STRIDE,Joy Way,Joy Way,,1765,402,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,3
1255630,WWE 2K22,Visual Concepts,2K,,7245,2653,0,"200,000 .. 500,000",0,0,0,0,59.99,59.99,0,117
797410,Headsnatchers,IguanaBee,Iceberg Interactive,,810,752,0,"200,000 .. 500,000",0,0,0,0,14.99,14.99,0,2
1239520,Madden NFL 21,Electronic Arts,Electronic Arts,,2620,2588,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,76
285580,ACE - Arena: Cyber Evolution,Spearhead Games,Spearhead Games,,707,357,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,0
216890,Blood Bowl: Chaos Edition,Cyanide Studios,Cyanide Studios,,1392,328,0,"200,000 .. 500,000",0,0,0,0,14.99,14.99,0,13
1242700,Ashland:Explore,"无人之境, Explore X Studio","无人之境, Explore X Studio",,1395,305,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,55
515220,F1 2017,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts",,5156,759,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,29
645260,Trophy Fishing 2,Overgroup,Overgroup,,712,277,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,253
1066890,Automobilista 2,Reiza Studios,Reiza Studios,,6487,626,0,"200,000 .. 500,000",0,0,0,0,19.99,39.99,50,891
2338770,NBA 2K24,Visual Concepts,2K,,2145,11180,0,"200,000 .. 500,000",0,0,0,0,26.99,59.99,55,8566
703860,GRID,Codemasters,"Codemasters, Electronic Arts",,4303,1950,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,60
815780,PIPE by BMX Streets,Mash Games,Mash Games,,5662,398,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,50
429180,Project CARS - Pagani Edition,Slightly Mad Studios,"Slightly Mad Studios, BANDAI NAMCO Entertainment",,960,525,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,4
1278060,Orqa FPV.SkyDive,"ORQA, INC.","ORQA, INC.",,874,204,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,47
264120,Victory: The Age of Racing,Vae Victis Games,Vae Victis Games,,662,654,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,8
406350,KartKraft,Motorsport Games,Motorsport Games,,2386,655,0,"200,000 .. 500,000",0,0,0,0,24.99,24.99,0,36
1341230,Super Buckyball Tournament Preseason,Pathea Games,Pathea Games,,1099,175,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,0
804490,Creed: Rise to Glory,Survios,Survios,,1453,385,0,"200,000 .. 500,000",0,0,0,0,8.99,29.99,70,6
399820,Kopanito All-Stars Soccer,Merixgames,Merixgames,,2274,422,0,"200,000 .. 500,000",0,0,0,0,5.99,5.99,0,3
371420,Teddy Floppy Ear - The Race,Forever Entertainment S. A.,Forever Entertainment S. A.,,800,230,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,1
444930,Zaccaria Pinball,Magic Pixel Kft.,Magic Pixel Kft.,,1142,225,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,10
651150,Quantum League,Nimble Giant Entertainment,Nimble Giant Entertainment,,1746,563,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,2
770240,PRO EVOLUTION SOCCER 2019,Konami Digital Entertainment,Konami Digital Entertainment,,3225,2699,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,97
1097130,Circuit Superstars,Original Fire Games,Original Fire Games,,1607,229,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,36
266410,iRacing,"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing",,2844,465,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,187
