appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1307270,Demon Keeper 2+,PandaCat 熊喵独立游戏,PandaCat 熊喵独立游戏,,34,6,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0,0
1524710,Dark Flowers,Dawnwing House,RMking,,25,3,0,"0 .. 20,000",0,0,0,0,0.99,0.99,0,0
1509660,重生战士,Resight Studio,Resight Studio,,0,1,0,"0 .. 20,000",0,0,0,0,4.99,4.99,0,0
1531460,Distorted world,Alexandr Sidorov,Alexandr Sidorov,,3,2,0,"0 .. 20,000",0,0,0,0,1.99,1.99,0,0
1532510,Purrfect Apawcalypse: Love at Furst Bite,"Denny Truong, Andy Schneider",90% Studios,,501,6,0,"0 .. 20,000",0,0,0,0,4.99,4.99,0,4
1532350,Rogue Explorer,Zoo Corporation,Zoo Corporation,,19,16,0,"0 .. 20,000",0,0,0,0,7.99,7.99,0,0
1441740,Frick Frack,Weston Bell-Geddes,Spookulele Games,,22,29,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0,0
1553910,My Friend Stalin,Boom Team,Boom Team,,432,51,0,"0 .. 20,000",0,0,0,0,0.99,0.99,0,2
1523260,迷霧國度: 傳承 Myth of Mist：Legacy,赫米兔娛樂Skvader Entertainment,英特衛多媒體股份有限公司Interwise Multimedia Corp.,,79,19,0,"0 .. 20,000",0,0,0,0,24.99,24.99,0,1
597060,Numina,starlit studio,starlit studio,,38,3,0,"0 .. 20,000",0,0,0,0,16.99,16.99,0,2
1617160,Mad Wild Fairy Tale,Morozov Sergey,Morozov Sergey,,8,1,0,"0 .. 20,000",0,0,0,0,19.99,19.99,0,0
1575540,Symbiotic Love - Yuri Visual Novel,White Dew Games,Kikai Digital,,11,4,0,"0 .. 20,000",0,0,0,0,9.99,9.99,0,0
1566220,Terafall: Survival,Terafall: Survival,Terafall: Survival,,15,15,0,"0 .. 20,000",0,0,0,0,10.99,10.99,0,0
1522470,Deck Adventurers - Origins,Junjo,Junjo,,20,1,0,"0 .. 20,000",0,0,0,0,6.99,6.99,0,0
1579660,Wyvia,Blast Programming,GIGATANK 3000,,83,2,0,"0 .. 20,000",0,0,0,0,8.99,9.99,10,6
1601280,Potato Flowers in Full Bloom,Pon Pon Games,PLAYISM,,0,0,0,"0 .. 20,000",0,0,0,0,13.31,17.99,26,24
1122730,Magna Fortuna,DOPPELGESICHT,Kagura Games,,63,34,0,"0 .. 20,000",0,0,0,0,10.49,14.99,30,0
1596580,SPYCITY,SHIBO GAMES,SHIBO GAMES,,23,4,0,"0 .. 20,000",0,0,0,0,1.99,1.99,0,0
1655010,Theseus - Mythological Hero,"Cleison Rodrigues, Kynikós Games",Kynikós Games,,1,2,0,"0 .. 20,000",0,0,0,0,4.99,4.99,0,0
1652090,Key: Maze of Illusions,Siene Games,Siene Games,,2,2,0,"0 .. 20,000",0,0,0,0,3.99,3.99,0,0
1691830,Temple with traps,Hede Games,Hede Games,,0,9,0,"0 .. 20,000",0,0,0,0,9.99,99.99,90,0
1726410,Seal of Evil,Object Software Limited,Strategy First Inc.,,14,3,0,"0 .. 20,000",0,0,0,0,9.99,9.99,0,1
